uniprotkb_canonical_ac	category
Q96QH2-1	in_both
O75509-1	in_both
P32314-1	in_both
Q9UPR3-1	in_both
Q9H173-1	in_both
Q5VTL8-1	in_both
Q96L58-1	in_both
Q96MX3-1	in_both
Q9UMR2-1	in_both
Q9HA72-1	in_both
Q9BY77-1	in_both
P67775-1	in_both
Q6S5H5-3	in_both
Q6NT89-1	in_both
Q6XPS3-1	in_both
Q14CX7-1	in_both
Q5JRX3-1	in_both
Q8WXU2-1	in_both
Q8TDZ2-1	in_both
Q8TED0-1	in_both
Q53HC5-1	in_both
Q9HBF4-1	in_both
H3BU77-1	in_both
Q03164-1	in_both
Q9HAF1-1	in_both
Q96KM6-1	in_both
Q13304-1	in_both
Q8IZF2-1	in_both
Q9NWT6-1	in_both
A0A286YEU6-1	in_both
O95528-1	in_both
Q9UEE9-1	in_both
P82932-1	in_both
Q14520-1	in_both
Q8N7B9-1	in_both
P26998-1	in_both
Q9UM00-3	in_both
O94905-1	in_both
Q6PF06-1	in_both
P30307-1	in_both
Q5W0Q7-1	in_both
P52597-1	in_both
Q86W92-1	in_both
Q6ZVN8-1	in_both
Q9UKN1-1	in_both
A6NHS7-1	in_both
Q92186-1	in_both
Q8IYR6-1	in_both
Q9UFH2-1	in_both
Q99569-1	in_both
Q9Y3U8-1	in_both
Q6PIY7-1	in_both
Q99966-1	in_both
P04818-1	in_both
Q9BX70-1	in_both
Q96SY0-1	in_both
B1AJZ9-1	in_both
Q9Y216-1	in_both
P31151-1	in_both
Q8NGY1-1	in_both
O95992-1	in_both
P09758-1	in_both
Q9BYE0-1	in_both
P83876-1	in_both
O60347-1	in_both
Q86VG3-1	in_both
Q8IYB7-1	in_both
Q15392-1	in_both
Q96B77-1	in_both
Q6P9H4-1	in_both
Q9P2D1-1	in_both
P49207-1	in_both
Q8IYS0-1	in_both
P11473-1	in_both
O95140-1	in_both
Q8WVN6-1	in_both
P21754-1	in_both
Q10587-1	in_both
Q9BXM7-1	in_both
A2RUU4-1	in_both
P50548-1	in_both
P50416-1	in_both
Q86YI8-1	in_both
Q9UIA9-1	in_both
P29376-1	in_both
Q96E66-1	in_both
Q9H2H8-1	in_both
O75360-1	in_both
O00445-1	in_both
P31276-1	in_both
Q5JRV8-1	in_both
Q9NP91-1	in_both
Q6UXX9-1	in_both
P78545-1	in_both
Q12805-1	in_both
Q14749-1	in_both
Q8TC27-1	in_both
Q9NVZ3-1	in_both
Q15029-1	in_both
Q5VVM6-1	in_both
P10321-1	in_both
Q9NZQ7-1	in_both
A6NGB7-1	in_both
Q5J8M3-1	in_both
Q9BWK5-1	in_both
Q92781-1	in_both
Q9H808-1	in_both
Q6ZMY6-1	in_both
Q06732-1	in_both
Q9UMR3-1	in_both
Q8N2W9-1	in_both
Q8N8A6-1	in_both
Q8IW75-1	in_both
Q9BY89-1	in_both
Q9BSC4-1	in_both
Q9H9V4-1	in_both
Q8NGJ6-1	in_both
Q13112-1	in_both
P25815-1	in_both
Q96J84-1	in_both
Q9H2M3-1	in_both
O95096-1	in_both
O14926-1	in_both
P02814-1	in_both
Q13093-1	in_both
Q05315-1	in_both
Q6U7Q0-1	in_both
Q86XI8-1	in_both
Q765I0-1	in_both
O60563-1	in_both
Q9BQQ7-1	in_both
Q3ZCV2-1	in_both
Q92819-1	in_both
P36544-1	in_both
Q00987-1	in_both
Q13829-1	in_both
P48436-1	in_both
Q9BTT6-1	in_both
Q8IX01-1	in_both
P57796-1	in_both
A6NIX2-1	in_both
H7C241-1	in_both
P36404-1	in_both
Q14376-1	in_both
P20594-1	in_both
Q8N4F4-2	in_both
Q9Y608-1	in_both
Q03721-1	in_both
Q5VT66-1	in_both
P09848-1	in_both
Q8IWX7-1	in_both
Q8NCB2-1	in_both
Q14814-1	in_both
Q8N6S5-1	in_both
Q5JPI9-1	in_both
P56385-1	in_both
Q9GZW8-1	in_both
O14770-1	in_both
P40238-1	in_both
Q8TDH9-1	in_both
Q5SSQ6-1	in_both
O14798-1	in_both
Q96M93-1	in_both
P49662-1	in_both
Q9UIG0-1	in_both
Q9NRQ5-1	in_both
A0A075B6W4-1	in_both
O75791-1	in_both
O95672-1	in_both
Q96CP7-1	in_both
Q8TBP5-1	in_both
P09086-1	in_both
Q96C74-1	in_both
Q00887-1	in_both
Q13790-1	in_both
P62760-1	in_both
O14727-1	in_both
Q96JN2-1	in_both
O60393-1	in_both
P35414-1	in_both
Q9H9R9-1	in_both
Q9H0Q0-1	in_both
Q6ZU52-1	in_both
O76039-2	in_both
Q14896-1	in_both
Q9Y5V3-1	in_both
Q03014-1	in_both
Q92935-1	in_both
Q9Y675-1	in_both
Q8NGQ5-1	in_both
P52823-1	in_both
Q8NGY0-1	in_both
Q2TAZ0-1	in_both
Q15853-1	in_both
P06748-1	in_both
O96011-1	in_both
Q9P2G4-1	in_both
Q8TDX6-1	in_both
O43805-1	in_both
Q86TY3-1	in_both
Q13444-1	in_both
Q92828-1	in_both
Q7RTZ2-1	in_both
Q9NVX7-1	in_both
Q5JW98-1	in_both
Q86UW7-1	in_both
Q9H252-1	in_both
Q8NA57-1	in_both
Q96RE9-1	in_both
Q12800-1	in_both
Q6UB98-1	in_both
Q68DI1-1	in_both
P82664-1	in_both
Q9Y3Q3-1	in_both
A6NCL1-1	in_both
Q9Y5X0-1	in_both
Q7Z7G2-1	in_both
Q9H6Y5-1	in_both
Q96LB0-1	in_both
O75293-1	in_both
P05976-1	in_both
Q9HAS3-1	in_both
Q96K31-1	in_both
Q9UHP9-1	in_both
O76099-1	in_both
Q86WU2-1	in_both
P46059-1	in_both
P05164-1	in_both
Q9HD67-1	in_both
Q14118-1	in_both
Q9H4G0-1	in_both
Q2M2I3-1	in_both
A6NJZ3-1	in_both
Q9BZZ5-4	in_both
Q92890-2	in_both
O15213-1	in_both
Q9ULL4-1	in_both
A6NGA9-1	in_both
Q96AX1-1	in_both
Q8TBZ0-1	in_both
Q96PL2-1	in_both
Q9NW81-1	in_both
Q16849-1	in_both
P32242-1	in_both
O43374-1	in_both
Q8N196-1	in_both
Q9GZR7-1	in_both
P18848-1	in_both
P54136-1	in_both
Q9BUK0-1	in_both
P61081-1	in_both
Q9P266-1	in_both
Q9GZN8-1	in_both
P01566-1	in_both
P59095-1	in_both
A8MPS7-1	in_both
Q5JXC2-1	in_both
Q06609-1	in_both
Q9ULI4-1	in_both
O43681-1	in_both
P59282-1	in_both
Q13049-1	in_both
P60606-1	in_both
O94988-4	in_both
P35663-1	in_both
Q3T8J9-1	in_both
Q5TID7-1	in_both
Q96NZ1-1	in_both
P55198-1	in_both
Q13639-1	in_both
P25713-1	in_both
Q9P2K8-1	in_both
Q9UL62-1	in_both
Q8N9W5-1	in_both
Q96MZ0-1	in_both
Q8TDQ0-1	in_both
Q9UGI8-1	in_both
P51124-1	in_both
P23919-1	in_both
P24043-1	in_both
Q6N043-1	in_both
Q8TDF6-1	in_both
Q9NZM6-1	in_both
P08217-1	in_both
Q15393-1	in_both
Q9Y2D1-1	in_both
Q96PD5-1	in_both
P17676-1	in_both
Q96KR4-1	in_both
Q9P0K1-1	in_both
P17213-1	in_both
P62952-1	in_both
O43159-1	in_both
Q9BRC7-1	in_both
P32004-1	in_both
P01601-1	in_both
Q13309-1	in_both
Q9P0B6-1	in_both
Q9BUL9-1	in_both
Q12948-1	in_both
P19484-1	in_both
Q63HM1-1	in_both
Q9Y2D0-1	in_both
P09382-1	in_both
P20794-1	in_both
P05060-1	in_both
Q9UHA2-1	in_both
Q9BSA4-1	in_both
O75444-2	in_both
A5PL33-1	in_both
Q9Y277-1	in_both
Q9P2K2-1	in_both
Q8NI35-1	in_both
Q32M84-1	in_both
Q9NYZ4-1	in_both
E9PKD4-1	in_both
O00254-1	in_both
Q8NGA1-1	in_both
O14558-1	in_both
Q8WVD5-1	in_both
Q9Y473-1	in_both
Q9NZI7-1	in_both
B2RUZ4-1	in_both
Q8N609-1	in_both
A0A0B4J244-1	in_both
Q13651-1	in_both
Q14940-1	in_both
Q9NRF8-1	in_both
A0A075B6Z3-1	in_both
Q96JB5-1	in_both
P48960-1	in_both
P04637-1	in_both
Q9Y4B6-1	in_both
Q6UE05-1	in_both
A2RRL7-1	in_both
Q8IXH6-1	in_both
Q9NUQ7-1	in_both
P51116-1	in_both
Q8WUY3-1	in_both
P20933-1	in_both
A8MQ14-1	in_both
Q8WV83-1	in_both
Q9BSQ5-1	in_both
P50895-1	in_both
Q9BUF7-1	in_both
Q9NV66-1	in_both
P53999-1	in_both
Q15436-1	in_both
Q8IZV2-1	in_both
Q8IWT3-1	in_both
Q9BZI7-1	in_both
Q5T8I3-1	in_both
Q96T17-1	in_both
O60291-1	in_both
Q9NR80-1	in_both
Q2WGJ6-1	in_both
Q13094-1	in_both
Q68D42-1	in_both
Q8IUW5-1	in_both
Q15051-1	in_both
P48507-1	in_both
O00321-1	in_both
Q9BYQ0-1	in_both
Q9H668-1	in_both
P34982-1	in_both
O95573-1	in_both
Q92674-1	in_both
Q4V326-1	in_both
Q5TA45-1	in_both
P63241-1	in_both
Q7Z5Y6-1	in_both
Q2T9L4-1	in_both
Q16533-1	in_both
Q15544-1	in_both
Q8WWH4-1	in_both
Q6NUT3-1	in_both
P07288-1	in_both
O75534-1	in_both
P35250-1	in_both
Q9Y2Z0-1	in_both
Q49AM3-1	in_both
Q96HA1-1	in_both
Q495A1-1	in_both
P53805-1	in_both
Q5QJ74-1	in_both
Q96FQ6-1	in_both
Q8NFW5-1	in_both
Q9UJU2-1	in_both
O00482-1	in_both
C9JQI7-1	in_both
P01178-1	in_both
Q16594-1	in_both
P47895-1	in_both
A6NK06-1	in_both
Q9NNW5-1	in_both
P57078-1	in_both
Q5H913-1	in_both
Q5VV16-1	in_both
A0A075B7B8-1	in_both
Q5U5R9-1	in_both
Q96LA5-1	in_both
P43357-1	in_both
Q9UNW1-1	in_both
P08575-3	in_both
Q86YW5-1	in_both
Q9Y5A7-1	in_both
Q00610-1	in_both
Q92993-1	in_both
O14896-1	in_both
Q8WVZ1-1	in_both
Q96RN1-1	in_both
Q92994-1	in_both
A0A0C4DH27-1	in_both
Q8N697-1	in_both
O76064-1	in_both
Q8NBA8-1	in_both
Q9UPA5-1	in_both
Q14165-1	in_both
P55210-1	in_both
O75448-1	in_both
Q08AH3-1	in_both
O00522-1	in_both
Q9UGY1-1	in_both
Q6P4H8-1	in_both
P53365-1	in_both
P22692-1	in_both
Q8N8Q9-1	in_both
P35244-1	in_both
Q9NZB2-1	in_both
Q9UBV8-1	in_both
Q96JH7-1	in_both
Q9NWZ5-1	in_both
O75570-1	in_both
Q9UJY5-1	in_both
Q9H7E9-1	in_both
O14682-1	in_both
P57059-1	in_both
A6NKW6-1	in_both
Q08209-1	in_both
Q8N9K5-1	in_both
Q9UC06-1	in_both
Q9H2S9-1	in_both
Q6NXP0-1	in_both
P11717-1	in_both
P51793-1	in_both
O14709-1	in_both
P18433-5	in_both
Q2T9J0-1	in_both
Q9Y5G0-1	in_both
Q8WXG6-1	in_both
Q96SB4-2	in_both
Q9Y4E6-1	in_both
P05814-1	in_both
Q8TAL6-1	in_both
Q8IZH2-1	in_both
Q9P0M6-1	in_both
Q9BVV7-1	in_both
Q9H7X2-1	in_both
Q96BM9-1	in_both
Q86TX2-1	in_both
Q12968-1	in_both
Q8IX07-1	in_both
P49903-1	in_both
Q96JC9-1	in_both
Q15884-3	in_both
A0A0B4J237-1	in_both
Q16665-1	in_both
Q9BQC3-1	in_both
Q96F45-1	in_both
Q96SF7-1	in_both
P46092-1	in_both
Q9BRS2-1	in_both
Q9UQ10-1	in_both
Q8TB52-1	in_both
Q6S8J3-1	in_both
Q03938-1	in_both
Q8IZJ1-1	in_both
P46095-1	in_both
Q9UHP3-2	in_both
P12074-1	in_both
P0C7U0-1	in_both
Q0VD86-1	in_both
Q5EBM0-1	in_both
Q00169-1	in_both
Q9BQ04-1	in_both
P50749-1	in_both
Q86XU0-1	in_both
Q5W111-1	in_both
O14681-1	in_both
Q7Z478-1	in_both
Q9UNZ2-1	in_both
Q8NGK9-1	in_both
Q8NGQ4-1	in_both
Q8N8D1-1	in_both
A6NGE4-1	in_both
Q15111-1	in_both
P01266-1	in_both
Q7RTT5-1	in_both
Q9H6Q4-1	in_both
Q86WI1-1	in_both
Q9Y6J0-1	in_both
Q15466-1	in_both
Q8N865-1	in_both
Q6IEG0-1	in_both
Q8TDX9-1	in_both
O15417-1	in_both
O95983-1	in_both
P23528-1	in_both
P68871-1	in_both
Q15784-1	in_both
Q99733-1	in_both
Q9UQ90-1	in_both
