Status	Slim	Top_type	Top_Level_Organ_system	Num_Mutations_for_organ_system_top	Top_Level_Cell_type	Num_Mutations_for_cell_type_top	Child_Organ_system	Num_Mutations_for_organ_system_child	Child_Cell_type	Num_Mutations_for_cell_type_child	Original_Cancer_Term	Source	Mutations_in_source	Version_DO_Slim	Action
Mapped	DOID:0060073 / lymphatic system cancer	Organ	DOID:0060073 / lymphatic system cancer	7	-	-	-	-	-	-	soft_tissue,fibrous_tissue_and_uncertain_origin,lymph_node,NS,intranodal_palisaded_myofibroblastoma,NS,NS,NS	COSMIC	7	V2	New term
Mapped	DOID:0060119 / pharynx cancer	Organ	DOID:0060119 / pharynx cancer	5363	DOID:305 / carcinoma	18272122	-	-	-	-	upper_aerodigestive_tract,tonsil,NS,NS,carcinoma,NS,NS,NS	COSMIC	2	V2	New term
Mapped	DOID:0060119 / pharynx cancer	Organ	DOID:0060119 / pharynx cancer	5363	DOID:305 / carcinoma	18272122	-	-	DOID:0050921 / pharynx squamous cell carcinoma	2337	upper_aerodigestive_tract,pharynx,nasopharynx,NS,carcinoma,squamous_cell_carcinoma,NS,NS	COSMIC	2	V1	The same as V1 (Divided into several ones due to the extraction of the whole terms)
Mapped	DOID:0060119 / pharynx cancer	Organ	DOID:0060119 / pharynx cancer	5363	DOID:305 / carcinoma	18272122	-	-	-	-	upper_aerodigestive_tract,pharynx,nasopharynx,NS,carcinoma,nasopharyngeal_carcinoma,NS,NS	COSMIC	2931	V2	New term
Mapped	DOID:0060119 / pharynx cancer	Organ	DOID:0060119 / pharynx cancer	5363	DOID:305 / carcinoma	18272122	-	-	-	-	upper_aerodigestive_tract,pharynx,hypopharynx,NS,carcinoma,NS,NS,NS	COSMIC	7	V2	New term
Mapped	DOID:0060119 / pharynx cancer	Organ	DOID:0060119 / pharynx cancer	5363	DOID:305 / carcinoma	18272122	-	-	-	-	upper_aerodigestive_tract,pharynx,oropharynx,NS,carcinoma,NS,NS,NS	COSMIC	2	V2	New term
Mapped	DOID:0060119 / pharynx cancer	Organ	DOID:0060119 / pharynx cancer	5363	DOID:305 / carcinoma	18272122	-	-	DOID:0050921 / pharynx squamous cell carcinoma	2337	upper_aerodigestive_tract,pharynx,oropharynx,NS,carcinoma,squamous_cell_carcinoma,NS,NS	COSMIC	1011	V1	The same as V1 (Divided into several ones due to the extraction of the whole terms)
Mapped	DOID:0060119 / pharynx cancer	Organ	DOID:0060119 / pharynx cancer	5363	DOID:305 / carcinoma	18272122	-	-	DOID:0050921 / pharynx squamous cell carcinoma	2337	upper_aerodigestive_tract,pharynx,hypopharynx,NS,carcinoma,squamous_cell_carcinoma,NS,NS	COSMIC	1305	V1	The same as V1 (Divided into several ones due to the extraction of the whole terms)
Mapped	DOID:0060119 / pharynx cancer	Organ	DOID:0060119 / pharynx cancer	5363	DOID:305 / carcinoma	18272122	-	-	DOID:0050920 / tonsil squamous cell carcinoma	55	upper_aerodigestive_tract,tonsil,NS,NS,carcinoma,squamous_cell_carcinoma,NS,NS	COSMIC	55	V1	The same as V1
Mapped	DOID:0060119 / pharynx cancer	Organ	DOID:0060119 / pharynx cancer	5363	DOID:305 / carcinoma	18272122	-	-	-	-	upper_aerodigestive_tract,pharynx,nasopharynx,NS,carcinoma,poorly_differentiated_carcinoma,NS,NS	COSMIC	3	V2	New term
Mapped	DOID:0060119 / pharynx cancer	Organ	DOID:0060119 / pharynx cancer	5363	DOID:305 / carcinoma	18272122	-	-	-	-	upper_aerodigestive_tract,pharynx,nasopharynx,NS,carcinoma,NS,NS,NS	COSMIC	25	V2	New term
Mapped	DOID:0060119 / pharynx cancer	Organ	DOID:0060119 / pharynx cancer	5363	DOID:305 / carcinoma	18272122	-	-	DOID:0050921 / pharynx squamous cell carcinoma	2337	upper_aerodigestive_tract,pharynx,NS,NS,carcinoma,squamous_cell_carcinoma,NS,NS	COSMIC	19	V1	The same as V1 (Divided into several ones due to the extraction of the whole terms)
Mapped	DOID:0060119 / pharynx cancer	Organ	DOID:0060119 / pharynx cancer	5363	DOID:305 / carcinoma	18272122	-	-	-	-	upper_aerodigestive_tract,pharynx,NS,NS,carcinoma,NS,NS,NS	COSMIC	1	V2	New term
Mapped	DOID:0060119 / pharynx cancer	Organ	DOID:0060119 / pharynx cancer	5363	-	-	DOID:8533 / hypopharynx cancer	0	-	-	hypopharynx	EDRN	0	V1	The same as V1
Mapped	DOID:0060119 / pharynx cancer	Organ	DOID:0060119 / pharynx cancer	5363	-	-	DOID:8557 / oropharynx cancer	0	-	-	oropharynx	EDRN	0	V1	The same as V1
