"uniprotkb_canonical_ac","uniprotkb_isoform_ac","transcript_id","peptide_id","chromosome_id","start_pos","end_pos","strand"
"O75818-1","X6RLL4-1","ENST00000464646","ENSP00000419431","6","5002188","4995081","1"
"Q9Y6C9-1","E9PIE4-1","ENST00000530428","ENSP00000432043","11","47642465","47622713","1"
"Q9Y6C9-1","Q9Y6C9-1","ENST00000643223","ENSP00000495027","CHR_HG2114_PATCH","47647005","47618836","1"
"Q8TDG4-1","E3W980-1","ENST00000510985","ENSP00000424539","4","83455693","83407456","1"
"P30613-1","P30613-1","ENST00000342741","ENSP00000339933","1","155301395","155290575","1"
"P30613-1","P30613-2","ENST00000571194","ENSP00000461487","1","155316291","155305979","1"
"P30613-1","A0A0G2JLC7-1","ENST00000573938","ENSP00000459447","1","155316360","155315552","1"
"P30613-1","F8W6W2-1","ENST00000434082","ENSP00000398037","1","155300188","155295135","1"
"P50213-1","H0YKD0-1","ENST00000559186","ENSP00000452754","15","78157608","78161768","0"
"A0A1B0GX78-1","A0A0J9YY10-1","ENST00000632829","ENSP00000488633","7","142622819","142623263","0"
"Q9NPB8-1","A0A0J9YY12-1","ENST00000481690","ENSP00000488635","20","5604412","5580102","1"
"Q5MIZ7-1","Q5MIZ7-1","ENST00000616407","ENSP00000483228","2","55617285","55549914","1"
"Q5MIZ7-1","Q5MIZ7-2","ENST00000616288","ENSP00000484116","2","55617285","55549914","1"
"Q5MIZ7-1","Q5MIZ7-3","ENST00000611717","ENSP00000478677","2","55617285","55549914","1"
"Q9NV96-1","E5RG19-1","ENST00000518161","ENSP00000430270","6","75265326","75259444","1"
"Q99687-1","U3KQJ9-1","ENST00000607695","ENSP00000475941","19","47409152","47407098","1"
"Q969N2-1","A0A1W2PQ29-1","ENST00000640986","ENSP00000491886","20","45416157","45420540","0"
"P05093-1","A0A1W2PQ28-1","ENST00000638272","ENSP00000491508","10","102837361","102830705","1"
"A0A1W2PQ27-1","A0A1W2PQ27-1","ENST00000524542","ENSP00000491894","11","4339244","4338663","1"
"O60285-1","F8VXF0-1","ENST00000549704","ENSP00000449990","12","106070855","106067816","1"
"P14136-1","A0A1W2PQ25-1","ENST00000640545","ENSP00000491735","17","44908126","44904441","1"
"P09471-1","A0A1W2PQ24-1","ENST00000640469","ENSP00000491875","16","56336774","56355050","0"
"Q9Y312-1","A0A7P0T8J7-1","ENST00000680412","ENSP00000505137","20","36239869","36244926","0"
"Q9UNP4-1","A0A1W2PQ22-1","ENST00000640763","ENSP00000491495","2","85861217","85850689","1"
"Q7RTN6-1","A0A1W2PQ20-1","ENST00000638718","ENSP00000491868","17","63714057","63707379","1"
"Q5SRE7-1","H7C3M4-1","ENST00000424503","ENSP00000412738","9","128927046","128933737","0"
"Q2PZI1-1","H7C3M5-1","ENST00000428054","ENSP00000412745","7","34939368","34931574","1"
"Q5VT40-1","H7C3M6-1","ENST00000435676","ENSP00000412766","1","166166225","166070242","1"
"O94887-1","H7C3M7-1","ENST00000413432","ENSP00000412772","2","241434230","241442530","0"
"O95672-1","H7C3M0-1","ENST00000411860","ENSP00000412683","2","232482458","232480156","1"
"Q9Y448-1","H0YKD4-1","ENST00000559304","ENSP00000452758","15","40382980","40389520","0"
"P39023-1","H7C3M2-1","ENST00000427905","ENSP00000412713","22","39319595","39315369","1"
"Q8TC84-1","H7C3M3-1","ENST00000456942","ENSP00000412737","10","125995417","126009436","0"
"Q13241-1","F6WZH4-1","ENST00000543777","ENSP00000443584","12","10308078","10314790","0"
"Q13283-1","A0A7I2YQH0-1","ENST00000678910","ENSP00000503654","5","151800259","151804088","0"
"Q12815-1","F8VXF3-1","ENST00000550709","ENSP00000449984","12","49323609","49324078","0"
"Q8IZS7-1","H0YFK3-1","ENST00000542530","ENSP00000438981","12","9733119","9716761","1"
"Q86W67-1","H7C3M9-1","ENST00000432434","ENSP00000412833","2","24175485","24190527","0"
"P68400-1","A0A2R8YCC9-1","ENST00000643910","ENSP00000493474","20","508551","508453","1"
"P29122-1","A0A7I2YQH5-1","ENST00000677528","ENSP00000503660","15","101489670","101307309","1"
"P51788-1","A0A1B0GVL9-1","ENST00000637909","ENSP00000490570","3","184358741","184355755","1"
