"uniprotkb_canonical_ac","uniprotkb_isoform_ac","transcript_id","peptide_id","chromosome_id","start_pos","end_pos","strand"
"O75818-1","X6RLL4-1","ENST00000464646.1","ENSP00000419431.1","6","5002188","4995081","1"
"Q8TDG4-1","E3W980-1","ENST00000510985.1","ENSP00000424539.1","4","83455693","83407456","1"
"P30613-1","P30613-1","ENST00000342741.6","ENSP00000339933.4","1","155301395","155290575","1"
"P30613-1","P30613-2","ENST00000392414.7","ENSP00000376214.3","1","155300887","155290575","1"
"P30613-1","A0A0G2JLC7-1","ENST00000573938.1","ENSP00000459447.1","HSCHR1_2_CTG31","105979","105171","1"
"P30613-1","F8W6W2-1","ENST00000434082.3","ENSP00000398037.3","1","155300188","155295135","1"
"P50213-1","H0YKD0-1","ENST00000559186.5","ENSP00000452754.1","15","78157608","78161768","0"
"Q9BQI5-1","A0A804HJJ5-1","ENST00000682054.1","ENSP00000508116.1","1","66534359","66743092","0"
"A0A1B0GX78-1","A0A0J9YY10-1","ENST00000632829.1","ENSP00000488633.1","HSCHR7_2_CTG6","584699","585143","0"
"Q9NPB8-1","A0A0J9YY12-1","ENST00000481690.2","ENSP00000488635.1","20","5604412","5580102","1"
"Q5MIZ7-1","Q5MIZ7-1","ENST00000616407.2","ENSP00000483228.1","2","55617285","55549914","1"
"Q5MIZ7-1","Q5MIZ7-2","ENST00000616288.4","ENSP00000484116.1","2","55617285","55549914","1"
"Q5MIZ7-1","Q5MIZ7-3","ENST00000611717.4","ENSP00000478677.1","2","55617285","55549914","1"
"Q9NV96-1","E5RG19-1","ENST00000518161.1","ENSP00000430270.1","6","75265326","75259444","1"
"Q99687-1","U3KQJ9-1","ENST00000607695.1","ENSP00000475941.1","19","47409152","47407098","1"
"Q969N2-1","A0A1W2PQ29-1","ENST00000640692.1","ENSP00000492370.1","20","45416157","45420540","0"
"P05093-1","A0A1W2PQ28-1","ENST00000638272.1","ENSP00000491508.1","10","102837361","102830705","1"
"A0A1W2PQ27-1","A0A1W2PQ27-1","ENST00000524542.3","ENSP00000491894.1","11","4339244","4338663","1"
"O60285-1","F8VXF0-1","ENST00000549704.1","ENSP00000449990.1","12","106070855","106067816","1"
"P14136-1","A0A1W2PQ25-1","ENST00000640545.1","ENSP00000491735.1","17","44908126","44904441","1"
"P09471-1","A0A1W2PQ24-1","ENST00000640469.1","ENSP00000491875.1","16","56336774","56355050","0"
"Q9Y312-1","A0A7P0T8J7-1","ENST00000680412.1","ENSP00000505137.1","20","36239869","36244926","0"
"Q9UNP4-1","A0A1W2PQ22-1","ENST00000640763.1","ENSP00000491495.1","2","85861217","85850689","1"
"Q7RTN6-1","A0A1W2PQ20-1","ENST00000638718.1","ENSP00000491868.1","17","63714057","63707379","1"
"Q5SRE7-1","H7C3M4-1","ENST00000424503.1","ENSP00000412738.1","9","128927046","128933737","0"
"Q2PZI1-1","H7C3M5-1","ENST00000428054.1","ENSP00000412745.1","7","34939368","34931574","1"
"Q5VT40-1","H7C3M6-1","ENST00000435676.2","ENSP00000412766.1","1","166166225","166070242","1"
"O94887-1","H7C3M7-1","ENST00000413432.2","ENSP00000412772.2","2","241434230","241442530","0"
"O95672-1","H7C3M0-1","ENST00000411860.5","ENSP00000412683.1","2","232482458","232480156","1"
"Q9Y448-1","H0YKD4-1","ENST00000559304.5","ENSP00000452758.1","15","40382980","40389520","0"
"P39023-1","H7C3M2-1","ENST00000427905.5","ENSP00000412713.1","22","39319595","39315369","1"
"Q8TC84-1","H7C3M3-1","ENST00000456942.1","ENSP00000412737.1","10","125995417","126009436","0"
"Q13241-1","F6WZH4-1","ENST00000543777.5","ENSP00000443584.1","12","10308078","10314790","0"
"Q13283-1","A0A7I2YQH0-1","ENST00000678910.1","ENSP00000503654.1","5","151800259","151804088","0"
"Q12815-1","F8VXF3-1","ENST00000550709.5","ENSP00000449984.1","12","49323609","49324078","0"
"Q14BN4-1","H7C3M8-1","ENST00000417128.7","ENSP00000412829.3","3","57757652","57925925","0"
"Q86W67-1","H7C3M9-1","ENST00000432434.2","ENSP00000412833.2","2","24175481","24200741","0"
"P68400-1","A0A2R8YCC9-1","ENST00000643910.1","ENSP00000493474.1","20","508551","508453","1"
"P29122-1","A0A7I2YQH5-1","ENST00000677528.1","ENSP00000503660.1","15","101489670","101307309","1"
"P51788-1","A0A1B0GVL9-1","ENST00000637909.1","ENSP00000490570.1","3","184358741","184355755","1"
"P51788-1","A0A1B0GVU4-1","ENST00000638134.1","ENSP00000490659.1","3","184361444","184357055","1"
"P51788-1","A0A1B0GUY6-1","ENST00000636241.1","ENSP00000490299.1","3","184361448","184354290","1"
"P51788-1","H7C0Q8-1","ENST00000430397.5","ENSP00000396231.1","3","184357020","184354290","1"
"P51788-1","A0A1B0GVW7-1","ENST00000637538.1","ENSP00000490682.1","3","184357697","184354290","1"
"P51788-1","A0A1B0GTY0-1","ENST00000475279.2","ENSP00000489885.1","3","184358049","184357055","1"
"P51788-1","P51788-1","ENST00000265593.9","ENSP00000265593.4","3","184361479","184346609","1"
"P51788-1","P51788-3","ENST00000344937.11","ENSP00000345056.7","3","184361479","184346609","1"
"P51788-1","P51788-4","ENST00000434054.6","ENSP00000400425.2","3","184361479","184346609","1"
"P51788-1","P51788-5","ENST00000457512.1","ENSP00000391928.1","3","184361479","184346609","1"
"P51788-1","A0A1B0GTJ3-1","ENST00000636419.1","ENSP00000489724.1","3","184354959","184354189","1"
"P51788-1","A0A1B0GUZ8-1","ENST00000636492.1","ENSP00000490313.1","3","184359107","184354310","1"
"P51788-1","A0A1B0GWC8-1","ENST00000636658.1","ENSP00000490875.1","3","184357696","184355496","1"
"P51788-1","A0A1B0GV52-1","ENST00000636180.1","ENSP00000490374.1","3","184361479","184357057","1"
"P23919-1","H7BZ20-1","ENST00000420144.1","ENSP00000387379.1","2","241685877","241676178","1"
"P23919-1","H7C3A4-1","ENST00000432348.5","ENSP00000410647.1","2","241686742","241682229","1"
"P23919-1","H7C312-1","ENST00000445261.5","ENSP00000408939.1","2","241686712","241676128","1"
"P23919-1","P23919-1","ENST00000305784.7","ENSP00000304802.2","2","241686783","241676130","1"
"P23919-1","G5E9E9-1","ENST00000400770.6","ENSP00000383581.2","2","241686783","241678640","1"
"Q8NHX4-1","H7C3E6-1","ENST00000423134.1","ENSP00000411374.1","2","230996389","231002798","0"
"Q8NHX4-1","H7C283-1","ENST00000440792.5","ENSP00000404510.1","2","230996336","231002796","0"
"Q8NHX4-1","F8WDD9-1","ENST00000454918.1","ENSP00000395644.1","2","230996234","231000453","0"
"Q8NHX4-1","Q8NHX4-1","ENST00000424440.5","ENSP00000399514.1","2","230996234","231002786","0"
"Q8NHX4-1","A0A2R8Y5R0-1","ENST00000645363.1","ENSP00000494655.1","2","230990324","231002786","0"
"Q92915-1","A0A9L9PY24-1","ENST00000706493.1","ENSP00000516416.1","13","102401678","102366555","1"
"Q8NHX9-1","Q8NHX9-1","ENST00000294309.8","ENSP00000294309.3","11","69048998","69087950","0"
"Q8NHX9-1","A0A1B0GTM1-1","ENST00000635811.1","ENSP00000490341.1","11","69048998","69085250","0"
"Q8NHX9-1","A0A1B0GUM5-1","ENST00000637342.1","ENSP00000490171.1","11","69048998","69135525","0"
"Q8NHX9-1","E7ETX0-1","ENST00000542467.1","ENSP00000445551.1","11","69048998","69087950","0"
"O00165-1","A0A8V8TKG3-1","ENST00000696929.1","ENSP00000512978.1","1","154272724","154274951","0"
"O94993-1","B4DXW7-1","ENST00000519442.1","ENSP00000427984.1","5","157667849","157626343","1"
"Q9NXR8-1","Q9NXR8-1","ENST00000315870.10","ENSP00000320566.5","7","120950897","120974841","0"
"Q9NXR8-1","Q9NXR8-2","ENST00000339121.9","ENSP00000341697.5","7","120950897","120956168","0"
"Q9NXR8-1","Q9NXR8-3","ENST00000427726.5","ENSP00000410406.1","7","120950897","120966637","0"
"Q9NXR8-1","E7ET07-1","ENST00000431467.1","ENSP00000388506.1","7","120951181","120974841","0"
"Q9NXR8-1","A0A0C4DG38-1","ENST00000445699.5","ENSP00000395719.1","7","120950897","120955654","0"
"P10242-1","E9PN43-1","ENST00000528015.5","ENSP00000434816.1","6","135181514","135197108","0"
"Q9GZW8-1","E9PN40-1","ENST00000530027.5","ENSP00000434819.1","11","60383142","60393813","0"
"O14817-1","E9PN41-1","ENST00000532375.5","ENSP00000434818.1","11","850305","865941","0"
"Q9C0H5-1","Q9C0H5-1","ENST00000276826.5","ENSP00000276826.5","8","144605614","144530425","1"
"Q9C0H5-1","Q9C0H5-2","ENST00000377307.7","ENSP00000366522.2","8","144605614","144530425","1"
"Q8NB91-1","A0A8Q3WLR5-1","ENST00000696355.1","ENSP00000512576.1","X","14865510","14844701","1"
"Q6UWY5-1","E9PN44-1","ENST00000528758.1","ENSP00000434813.1","11","7485876","7509412","0"
"Q6IQ23-1","E9PN45-1","ENST00000532079.1","ENSP00000434812.1","11","17014337","16789242","1"
"Q9C0H9-5","Q9C0H9-5","ENST00000615049.4","ENSP00000480869.1","HSCHR17_7_CTG4","2641024","2568601","1"
"Q9NXR1-2","Q9NXR1-2","ENST00000396354.6","ENSP00000379642.1","16","15664779","15724248","0"
"Q8N6H7-1","E9PN48-1","ENST00000525314.6","ENSP00000434809.2","11","47176853","47165485","1"
"Q07960-1","H0YE29-1","ENST00000528837.5","ENSP00000434883.1","11","46696099","46679217","1"
"Q07960-1","E9PNR6-1","ENST00000525488.1","ENSP00000432794.1","11","46696107","46681070","1"
"Q07960-1","Q07960-1","ENST00000311956.9","ENSP00000310491.4","11","46696107","46679040","1"
"Q9NXR5-1","S4R3R2-1","ENST00000603993.1","ENSP00000474638.1","13","110893132","110883536","1"
"Q9NXR5-1","Q9NXR5-1","ENST00000267339.6","ENSP00000267339.2","13","110914934","110879640","1"
"Q9NXR5-1","Q9NXR5-2","ENST00000310847.8","ENSP00000312534.4","13","110914934","110893153","1"
"Q9NXR5-1","Q8IUW1-1","ENST00000465753.1","ENSP00000431927.1","13","110914934","110900634","1"
"Q9NXR7-2","Q9NXR7-1","ENST00000344773.6","ENSP00000343412.2","2","27894557","28327430","0"
"Q9NXR7-2","Q9NXR7-2","ENST00000342045.6","ENSP00000339371.2","2","27894557","28338510","0"
"Q9NXR7-2","Q9NXR7-4","ENST00000361704.6","ENSP00000354699.2","2","27894557","28310121","0"
"Q96J66-1","Q96J66-1","ENST00000356608.7","ENSP00000349017.2","16","48231921","48167277","1"
"Q96J66-1","Q96J66-2","ENST00000353782.9","ENSP00000311326.6","16","48231921","48167277","1"
"Q96J66-1","H3BRJ2-1","ENST00000569991.1","ENSP00000456268.1","16","48231921","48224348","1"
"P49840-1","A0A7I2V341-1","ENST00000678354.1","ENSP00000503243.1","19","42234459","42233863","1"
"Q5JUK3-1","A0A6Q8PFI9-1","ENST00000675090.1","ENSP00000501833.1","9","135744100","135792158","0"
"O75448-1","F5H5K2-1","ENST00000535071.6","ENSP00000443344.2","17","40053360","40022394","1"
"P25705-1","K7EM08-1","ENST00000590156.5","ENSP00000466309.1","18","46098231","46095018","1"
"Q6UW68-1","K7EM09-1","ENST00000586701.1","ENSP00000466310.1","19","11345332","11342842","1"
"Q9BUZ4-1","K7EM06-1","ENST00000586813.5","ENSP00000466306.1","17","28744113","28747233","0"
"Q96IK0-1","K7EM07-1","ENST00000587529.1","ENSP00000466307.1","17","44014952","44012961","1"
"Q7Z7G2-1","K7EM04-1","ENST00000587244.5","ENSP00000466304.1","18","59318462","59276699","1"
"Q8N8Q3-1","H0YBX8-1","ENST00000521634.5","ENSP00000430509.1","17","80423520","80430127","0"
"Q8IYT4-1","K7EM02-1","ENST00000586198.5","ENSP00000466302.1","18","47069223","47077462","0"
"Q53F39-1","K7EM03-1","ENST00000592331.5","ENSP00000466303.1","18","11895253","11886722","1"
"A6NC51-1","K7EM00-1","ENST00000591570.5","ENSP00000466297.1","19","55321036","55316889","1"
"Q13829-1","K7EM01-1","ENST00000577535.1","ENSP00000466301.1","17","28340416","28342511","0"
"Q8TF47-1","J3QKQ8-1","ENST00000564323.5","ENSP00000463193.1","16","68539793","68563011","0"
"P51153-1","A0A087WWB9-1","ENST00000614713.4","ENSP00000480103.1","1","153983523","153982102","1"
